,DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location,year,age
20,2105595-1-DCA,Business,12/31/2023,Active,04/27/2022,Tobacco Retail Dealer,BEACH 116 DELI & GROCERY CORP,,201,BEACH 116TH ST,,ROCKAWAY PARK,NY,11694,,Queens,4.0,414.0,32.0,4304450.0,4162120033.0,,,,-73.83735301512489,40.58006037261243,"(40.58006037261243, -73.83735301512489)",2022,2
21,2003115-797-DCA,Business,12/31/2023,Active,01/31/2014,Tobacco Retail Dealer,NEALTICAN DELI GROCERY CORP.,,1225,FLUSHING AVE,,BROOKLYN,NY,11237,718-909-1181,Brooklyn,3.0,301.0,34.0,3070658.0,3030020012.0,BK77,453.0,,-73.92373986983549,40.7077854493441,"(40.7077854493441, -73.92373986983549)",2014,10
22,2066573-1-DCA,Business,12/31/2023,Active,02/22/2018,Tobacco Retail Dealer,SUPERIOR GOURMET MARKET PLATE INC.,,480,10TH AVE,,NEW YORK,NY,10018,718-916-7595,Manhattan,1.0,104.0,3.0,1076126.0,1007340066.0,MN13,111.0,,-73.9978559556608,40.75633795026236,"(40.756337950262356, -73.9978559556608)",2018,6
23,1430243-DCA,Business,12/31/2023,Active,05/17/2012,Tobacco Retail Dealer,MOMTA GROCERY INC.,,5012,VERNON BLVD,,LONG IS CITY,NY,11101,3474586979,Queens,4.0,402.0,26.0,4430568.0,4000330004.0,QN31,7.0,,-73.95417601013015,40.74256943292526,"(40.74256943292526, -73.95417601013015)",2012,12
24,1363615-DCA,Business,12/31/2023,Active,07/22/2010,Tobacco Retail Dealer,PRESIDENT FOOD CORP.,,247,COLUMBIA ST,,BROOKLYN,NY,11231,718-855-1714,Brooklyn,3.0,306.0,39.0,3004694.0,3003480010.0,BK33,51.0,,-74.00337480968061,40.68361553250527,"(40.68361553250527, -74.00337480968061)",2010,14
25,1338055-DCA,Business,12/31/2023,Active,11/05/2009,Tobacco Retail Dealer,"SECOND AVENUE DELI MARKET, INC.",,81,2ND AVE,,NEW YORK,NY,10003,212-477-8181,Manhattan,1.0,103.0,2.0,1006592.0,1004600036.0,MN22,38.0,,-73.98914024809142,40.72658984697322,"(40.72658984697322, -73.98914024809142)",2009,15
26,2066860-1-DCA,Business,12/31/2023,Active,02/23/2018,Tobacco Retail Dealer,LOS MOROCHOS GROCERY STORE INC,,1973,WALTON AVE,,BRONX,NY,10453,7187165784,Bronx,2.0,205.0,14.0,2008266.0,2028540024.0,BX41,241.0,,-73.9081185651524,40.85165586715717,"(40.85165586715717, -73.9081185651524)",2018,6
27,2034869-1-DCA,Business,12/31/2023,Active,03/23/2016,Tobacco Retail Dealer,"LIC NEWSPAPER STORE, INC",,2123,49TH AVE,,LONG ISLAND CITY,NY,11101,7184828776,Queens,4.0,402.0,26.0,4436625.0,4000720255.0,QN31,19.0,,-73.94857173752693,40.74240512645203,"(40.74240512645203, -73.94857173752693)",2016,8
28,2079936-1-DCA,Business,12/31/2023,Active,11/14/2018,Tobacco Retail Dealer,PENN GAS & LUBE INC,,1130,PENNSYLVANIA AVE,,BROOKLYN,NY,11207,718-257-3844,Brooklyn,3.0,305.0,42.0,3327466.0,3044120029.0,BK82,1104.0,,-73.8865774396821,40.65313654797062,"(40.65313654797062, -73.8865774396821)",2018,6
29,1222735-DCA,Business,12/31/2023,Active,04/04/2006,Tobacco Retail Dealer,"LOS BROTHER GROCERY, CORP.",,608,NEW YORK AVE,,BROOKLYN,NY,11203,718-774-4800,Brooklyn,3.0,309.0,40.0,3106932.0,3048010037.0,BK60,804.0,,-73.94762270468097,40.65969116896318,"(40.65969116896318, -73.94762270468097)",2006,18
30,2066540-1-DCA,Business,12/31/2023,Active,02/22/2018,Tobacco Retail Dealer,BOLLA OPERATING CORP.,KINGS 2960 C-STORE,2960,86TH ST,,BROOKLYN,NY,11223,516-240865,Brooklyn,3.0,313.0,47.0,3194296.0,3071670094.0,BK26,386.0,,-73.97455507368646,40.59029551093588,"(40.59029551093588, -73.97455507368646)",2018,6
31,2077215-1-DCA,Business,12/31/2023,Active,08/20/2018,Tobacco Retail Dealer,M.F.V.S. INCORPORATED,,14577,FARMERS BLVD,,JAMAICA,NY,11434,718-723-2068,Queens,4.0,413.0,31.0,4285801.0,4133410034.0,QN03,320.0,,-73.76839839624587,40.66429801740357,"(40.66429801740357, -73.76839839624587)",2018,6
32,2066356-1-DCA,Business,12/31/2023,Active,02/20/2018,Tobacco Retail Dealer,S & M GROCERY CORP,,8901,ROOSEVELT AVE,,JACKSON HEIGHTS,NY,11372,718-779-0913,Queens,4.0,403.0,21.0,4036335.0,4014770049.0,QN28,277.0,,-73.87734215326783,40.74833485294691,"(40.74833485294691, -73.87734215326783)",2018,6
33,2039678-1-DCA,Business,12/31/2023,Active,06/29/2016,Tobacco Retail Dealer,"J.G.L. FINE FOODS, INC.",,1269,PROSPECT AVE,,BROOKLYN,NY,11218,718-851-6200,Brooklyn,3.0,307.0,39.0,3122572.0,3052770012.0,BK40,50202.0,,-73.97592980072676,40.65210027646288,"(40.65210027646288, -73.97592980072676)",2016,8
34,1269715-DCA,Business,12/31/2023,Active,10/04/2007,Tobacco Retail Dealer,"SUNFLOWER FOOD MARKET #2, INC.",,750,7TH AVE,,NEW YORK,NY,10019,212-331-5121,Manhattan,1.0,105.0,4.0,1024795.0,1010210026.0,MN17,125.0,,-73.98352513961923,40.760753085757045,"(40.760753085757045, -73.98352513961923)",2007,17
35,2105510-1-DCA,Business,12/31/2023,Active,04/25/2022,Tobacco Retail Dealer,EXOTIC SMOKES AND VAPE CORP.,,183A,MCCLEAN AVE,,STATEN ISLAND,NY,10305,9293531920,Staten Island,5.0,502.0,50.0,5107491.0,5031000023.0,,,,-74.06815453286526,40.59749419474449,"(40.59749419474449, -74.06815453286526)",2022,2
36,2105524-1-DCA,Business,12/31/2023,Active,04/25/2022,Tobacco Retail Dealer,FAMILY 1 DELI INC,,2278,FLATBUSH AVE,,BROOKLYN,NY,11234,9173327330,Brooklyn,3.0,318.0,46.0,3240566.0,3085090043.0,,,,-73.92795609312111,40.61453700955034,"(40.61453700955034, -73.92795609312111)",2022,2
37,2105598-1-DCA,Business,12/31/2023,Active,04/27/2022,Tobacco Retail Dealer,FOOD YOU DESIRE CORP,,8917,5TH AVE,,BROOKLYN,NY,11209,3472727225,Brooklyn,3.0,310.0,43.0,3154225.0,3060670004.0,,,,-74.02783348570989,40.61959291124509,"(40.61959291124509, -74.02783348570989)",2022,2
38,2066635-1-DCA,Business,12/31/2023,Active,02/23/2018,Tobacco Retail Dealer,SWETA ARORA AND SATINDER ARORA,39TH BODEGA,269,W 39TH ST,,NEW YORK,NY,10018,212-840-6950,Manhattan,1.0,105.0,3.0,1014496.0,1007890007.0,MN17,113.0,,-73.99013544337123,40.75489930122157,"(40.75489930122157, -73.99013544337123)",2018,6
39,2105522-1-DCA,Business,12/31/2023,Active,04/25/2022,Tobacco Retail Dealer,HUNTS POINT DELI CORP,,1331,SENECA AVE,,BRONX,NY,10474,9174718703,Bronx,2.0,202.0,17.0,2006383.0,2027610139.0,,,,-73.8862043005336,40.81907305325831,"(40.81907305325831, -73.8862043005336)",2022,2
40,2066337-1-DCA,Business,12/31/2023,Active,02/20/2018,Tobacco Retail Dealer,BIG APPLE SMOKE SHOP AND ORGANIC CORP,,3542,BROADWAY,,NEW YORK,NY,10031,9294229519,Manhattan,1.0,109.0,7.0,1061928.0,1020770001.0,MN04,229.0,,-73.95032779261946,40.82657590377374,"(40.82657590377374, -73.95032779261946)",2018,6
41,2105523-1-DCA,Business,12/31/2023,Active,04/25/2022,Tobacco Retail Dealer,5 FINGERBOARD GAS CORP,,5,FINGERBOARD RD,,STATEN ISLAND,NY,10305,7186821421,Staten Island,5.0,501.0,49.0,5043104.0,5028640057.0,,,,-74.06274980545506,40.609253239252695,"(40.609253239252695, -74.06274980545506)",2022,2
42,2017062-1-DCA,Business,12/31/2023,Active,01/06/2015,Tobacco Retail Dealer,AVENUE A DELI & FOOD INC.,,24,AVENUE A,,NEW YORK,NY,10009,212-539-0151,Manhattan,1.0,103.0,2.0,1004986.0,1003980066.0,MN22,3002.0,,-73.98571351193591,40.72304324626938,"(40.72304324626938, -73.98571351193591)",2015,9
43,1325387-DCA,Business,12/31/2023,Active,07/09/2009,Tobacco Retail Dealer,"KACHALIA, VARSHA","KACHALIA, VARSHA",N/E/C,BROADWAY,WEST   48 STREET,NEW YORK,NY,10036,516-395-7784,Manhattan,1.0,105.0,4.0,,,,,,-73.98483562074706,40.76011648520396,"(40.76011648520396, -73.98483562074706)",2009,15
44,2006847-1497-DCA,Business,12/31/2023,Active,04/24/2014,Tobacco Retail Dealer,13TH AV MINIMART INC,,7912,13TH AVE,,BROOKLYN,NY,11228,7184911606,Brooklyn,3.0,310.0,43.0,3162508.0,3062670041.0,BK30,148.0,,-74.00994516633249,40.617896824198816,"(40.617896824198816, -74.00994516633249)",2014,10
45,2019266-2-DCA,Business,12/31/2024,Active,03/10/2015,Tobacco Retail Dealer,I LOVE MY DELI GROCERY INC,,200,RHINE AVE,,STATEN ISLAND,NY,10304,917-892-4603,Staten Island,5.0,501.0,49.0,5043692.0,5029040004.0,SI08,40.0,,-74.08917780605738,40.60911774669653,"(40.60911774669653, -74.08917780605738)",2015,9
46,2037005-1-DCA,Business,12/31/2023,Active,05/03/2016,Tobacco Retail Dealer,251 LA BODEGUITA GROCERY CORP,,251,E 119TH ST,,NEW YORK,NY,10035,917-472-7282,Manhattan,1.0,111.0,8.0,1054557.0,1017840021.0,MN34,194.0,,-73.93745018528024,40.79941335946391,"(40.799413359463905, -73.93745018528024)",2016,8
47,2080904-1-DCA,Business,12/31/2023,Active,12/26/2018,Tobacco Retail Dealer,BOLLA OPERATING CORP.,,10409,ATLANTIC AVE,,RICHMOND HILL,NY,11418,516-240865,Queens,4.0,409.0,32.0,4195383.0,4093130051.0,QN54,12602.0,,-73.84080510008324,40.69043876328576,"(40.690438763285755, -73.84080510008324)",2018,6
48,1450211-DCA,Business,12/31/2023,Active,11/15/2012,Tobacco Retail Dealer,ARSHAK CORP.,,262,NEPTUNE AVE,,BROOKLYN,NY,11235,718-769-8891,Brooklyn,3.0,313.0,48.0,3244449.0,3086650558.0,BK19,364.0,,-73.96296275912128,40.58130862437012,"(40.581308624370116, -73.96296275912128)",2012,12
49,2078998-1-DCA,Business,12/31/2023,Active,10/11/2018,Tobacco Retail Dealer,MUNCHIES DELI GROCERY CORP,,1215,GRAND CONCOURSE,,BRONX,NY,10452,718-410-0200,Bronx,2.0,204.0,16.0,2002847.0,2024640001.0,BX63,197.0,,-73.91683940191054,40.835411064767534,"(40.835411064767534, -73.91683940191054)",2018,6
50,2066772-1-DCA,Business,12/31/2023,Active,02/23/2018,Tobacco Retail Dealer,AVADH CONVENIENCE INC,,3714,BROADWAY,,ASTORIA,NY,11103,6465104997,Queens,4.0,401.0,22.0,4010344.0,4006550039.0,QN70,59.0,,-73.9204029288955,40.75962337846785,"(40.75962337846785, -73.9204029288955)",2018,6
51,1057059-DCA,Business,12/31/2023,Active,12/01/2000,Tobacco Retail Dealer,"99 JOHN'S MARKET PLACE, INC.",JUBILEE MARKET PLACE,99,JOHN ST,,NEW YORK,NY,10038,212-964-4283,Manhattan,1.0,101.0,1.0,1087867.0,1000767502.0,MN25,1502.0,,-74.00616416668282,40.708005423405226,"(40.708005423405226, -74.00616416668282)",2000,24
52,1417381-DCA,Business,12/31/2023,Active,01/19/2012,Tobacco Retail Dealer,MR GROCERY CORP.,,164,IRVING AVE,,BROOKLYN,NY,11237,718-573-6513,Brooklyn,3.0,304.0,37.0,3074195.0,3032580029.0,BK77,431.0,,-73.91996658765233,40.70218631045002,"(40.70218631045002, -73.91996658765233)",2012,12
53,2114917-2-DCA,Business,12/31/2024,Active,07/07/2023,Tobacco Retail Dealer,J & P GROCERY FOOD CENTER CORP,,2015,NEW HAVEN AVE,,FAR ROCKAWAY,NY,11691,3476640835,Queens,4.0,414.0,31.0,4300972.0,4157600023.0,,,,-73.75402717307344,40.60074530545484,"(40.600745305454836, -73.75402717307344)",2023,1
54,1434523-DCA,Business,12/31/2023,Active,06/15/2012,Tobacco Retail Dealer,BOLLA OPERATING CORP.,KINGS HYLAN C-STORE,2150,HYLAN BLVD,,STATEN ISLAND,NY,10306,516-240865,Staten Island,5.0,502.0,50.0,5053545.0,5036900001.0,SI45,11202.0,,-74.1020816469481,40.57817584934895,"(40.578175849348945, -74.1020816469481)",2012,12
55,2070133-1-DCA,Business,12/31/2023,Active,04/27/2018,Tobacco Retail Dealer,NEW GREEN APPLE GOURMET CORP,,375,GRAHAM AVE,,BROOKLYN,NY,11211,929-239-6755,Brooklyn,3.0,301.0,34.0,3068602.0,3027540022.0,BK90,497.0,,-73.94460616506713,40.715831302183744,"(40.715831302183744, -73.94460616506713)",2018,6
56,2042351-1-DCA,Business,12/31/2023,Active,08/12/2016,Tobacco Retail Dealer,"107 GROCERY DELI, CORP",,10701,37TH AVE,,CORONA,NY,11368,7184760699,Queens,4.0,403.0,21.0,4043546.0,4017490055.0,QN26,381.0,,-73.86110046026995,40.75394315079688,"(40.75394315079688, -73.86110046026995)",2016,8
57,2065136-1-DCA,Business,12/31/2023,Active,01/19/2018,Tobacco Retail Dealer,SOUNDVIEW 99 PLUS INC,,253,SOUNDVIEW AVE,,BRONX,NY,10473,9175205584,Bronx,2.0,209.0,18.0,2020193.0,2034550143.0,BX09,2.0,,-73.85571856214723,40.81074712504548,"(40.81074712504548, -73.85571856214723)",2018,6
58,2079083-1-DCA,Business,12/31/2023,Active,10/15/2018,Tobacco Retail Dealer,116 GREENE BITES CORP,,116,DEKALB AVE,,BROOKLYN,NY,11201,718-522-4455,Brooklyn,3.0,302.0,35.0,3058663.0,3020960030.0,BK68,33.0,,-73.97783453319394,40.6897919267245,"(40.6897919267245, -73.97783453319394)",2018,6
59,1098341-DCA,Business,12/31/2023,Active,12/17/2001,Tobacco Retail Dealer,HONISH DELI GROCERY INC.,,18246,HILLSIDE AVE,,JAMAICA,NY,11432,718-523-0396,Queens,4.0,412.0,27.0,4212432.0,4099190034.0,QN61,470.0,,-73.77942710897327,40.71370100775879,"(40.71370100775879, -73.77942710897327)",2001,23
60,2008143-1757-DCA,Business,12/31/2023,Active,05/15/2014,Tobacco Retail Dealer,NEW PARK SLOPE GROCERY AND CONVENIENT STORE INC,,597,4TH AVE,,BROOKLYN,NY,11215,347-987-3403,Brooklyn,3.0,307.0,38.0,3008934.0,3006280072.0,BK37,143.0,,-73.99328470533011,40.665000321341566,"(40.665000321341566, -73.99328470533011)",2014,10
61,2038681-1-DCA,Business,12/31/2023,Active,06/06/2016,Tobacco Retail Dealer,MAYPOLE NYC CORP,MAYPOLE NYC CORP,17945,HILLSIDE AVE,,JAMAICA,NY,11432,6465787268,Queens,4.0,408.0,24.0,4212921.0,4099370042.0,QN06,466.0,,-73.78322120339989,40.712802440663125,"(40.712802440663125, -73.78322120339989)",2016,8
62,2098012-2-DCA,Business,12/31/2024,Active,03/10/2021,Tobacco Retail Dealer,RAVENSWOOD GOURMET CORP,,2408,34TH AVE,,ASTORIA,NY,11106,7185000125,Queens,4.0,401.0,26.0,4006436.0,4005620001.0,,,,-73.93137071625412,40.76159841610568,"(40.76159841610568, -73.93137071625412)",2021,3
63,1369327-DCA,Business,12/31/2023,Active,09/02/2010,Tobacco Retail Dealer,SANTIAGO DELI FOOD CORP.,,3415,BROADWAY,,NEW YORK,NY,10031,212-491-0668,Manhattan,1.0,109.0,7.0,1062301.0,1020870034.0,MN04,225.0,,-73.95336586190652,40.82245735304772,"(40.82245735304772, -73.95336586190652)",2010,14
64,2079117-1-DCA,Business,12/31/2023,Active,10/16/2018,Tobacco Retail Dealer,MADURO CIGAR LOUNGE INC,,1969,SOUTHERN BLVD,,BRONX,NY,10460,347-466-8110,Bronx,2.0,206.0,17.0,2013088.0,2031170001.0,BX17,36501.0,,-73.88559575935314,40.84310517844355,"(40.84310517844355, -73.88559575935314)",2018,6
65,2030655-1-DCA,Business,12/31/2023,Active,11/20/2015,Tobacco Retail Dealer,"GREENBERG, JOEL",,S/E/C,WEST   34 STREET,6 AVENUE,NEW YORK,NY,10001,917-689-9177,Manhattan,1.0,105.0,4.0,,,,,,-73.98776859948752,40.74978835571634,"(40.74978835571634, -73.98776859948752)",2015,9
66,2060297-2-DCA,Business,12/31/2024,Active,11/03/2017,Tobacco Retail Dealer,"7-ELEVEN, INC.",7 Eleven Store #38310H,88,GREENWICH ST,,NEW YORK,NY,10006,757-869-0503,Manhattan,1.0,101.0,1.0,1000794.0,1000187501.0,MN25,13.0,,-74.01370610695912,40.70773029611131,"(40.70773029611131, -74.01370610695912)",2017,7
67,2065539-1-DCA,Business,12/31/2023,Active,01/31/2018,Tobacco Retail Dealer,559 SMOKE SHOP INC,,559,4TH AVE,,BROOKLYN,NY,11215,718-404-7897,Brooklyn,3.0,307.0,39.0,3023892.0,3010470001.0,BK37,141.0,,-73.99214912495523,40.66622442041491,"(40.66622442041491, -73.99214912495523)",2018,6
68,2096980-1-DCA,Business,12/31/2023,Active,11/19/2020,Tobacco Retail Dealer,BOLLA OPERATING CORP.,BOLLA 61-19 FRESH MEADOW C-STORE,17312,HORACE HARDING EXPY,,FRESH MEADOWS,NY,11365,516-240865,Queens,4.0,408.0,24.0,4149071.0,4069020018.0,,,,-73.79585193392555,40.73803344990079,"(40.73803344990079, -73.79585193392555)",2020,4
69,1294757-DCA,Business,12/31/2023,Active,08/06/2008,Tobacco Retail Dealer,LUCKY CORONA INC.,,10301,ROOSEVELT AVE,,CORONA,NY,11368,718-335-6978,Queens,4.0,403.0,21.0,4044394.0,4017700102.0,QN26,405.0,,-73.86258144552865,40.7498909308804,"(40.7498909308804, -73.86258144552865)",2008,16
70,1070411-DCA,Business,12/31/2023,Active,12/28/2000,Tobacco Retail Dealer,"WEST 53RD GOURMET, INC.",,1301,AVENUE OF THE AMERICAS,,NEW YORK,NY,10019,212-643-1200,Manhattan,1.0,105.0,4.0,1023161.0,1010050029.0,MN17,131.0,,-73.97945680950716,40.76124374118634,"(40.76124374118634, -73.97945680950716)",2000,24
71,1173675-DCA,Business,12/31/2023,Active,07/13/2004,Tobacco Retail Dealer,"JUMUNA, INC.",,1225,FULTON ST,,BROOKLYN,NY,11216,718-783-3977,Brooklyn,3.0,303.0,36.0,3052983.0,3018420059.0,BK75,245.0,,-73.95258895771543,40.680589309344256,"(40.680589309344256, -73.95258895771543)",2004,20
72,2096618-1-DCA,Business,12/31/2023,Active,10/09/2020,Tobacco Retail Dealer,DELI ON THE TERRACE CORP,,2950,RICHMOND TER,,STATEN ISLAND,NY,10303,6467322392,Staten Island,5.0,501.0,49.0,5027699.0,5012240016.0,,,,-74.15842562596855,40.6368122551178,"(40.636812255117796, -74.15842562596855)",2020,4
73,1064555-DCA,Business,12/31/2023,Active,10/18/2000,Tobacco Retail Dealer,Indu K Desai,,,BROADWAY,WEST   66 STREET,NEW YORK,NY,10023,,Manhattan,1.0,107.0,6.0,,,,,,-73.98222574060378,40.77387549830657,"(40.77387549830657, -73.98222574060378)",2000,24
74,1043017-DCA,Business,12/31/2023,Active,09/18/2000,Tobacco Retail Dealer,COLUMBUS AVENUE FOOD CORP.,,476,COLUMBUS AVE,,NEW YORK,NY,10024,2128750121,Manhattan,1.0,107.0,6.0,1032074.0,1012130035.0,MN12,169.0,,-73.97371174947916,40.78439718814457,"(40.78439718814457, -73.97371174947916)",2000,24
75,2095581-1-DCA,Business,12/31/2023,Active,03/31/2020,Tobacco Retail Dealer,BANI FOOD CENTER CORP,BANI MINI MART,1121,GREENE AVE,,BROOKLYN,NY,11221,347-240-0504,Brooklyn,3.0,304.0,34.0,3074994.0,3032840028.0,,,,-73.92368732376343,40.69382278438541,"(40.693822784385404, -73.92368732376343)",2020,4
76,1122815-DCA,Business,12/31/2023,Active,09/12/2002,Tobacco Retail Dealer,"KHURANA, RAJIVE",7- ELEVEN,8164,LEFFERTS BLVD,,KEW GARDENS,NY,11415,7188054588,Queens,4.0,409.0,29.0,4079569.0,4033320024.0,QN60,775.0,,-73.8309234168928,40.70805708273513,"(40.70805708273513, -73.8309234168928)",2002,22
